Time,X(CH1),
Second,Volt,
-2.0000002e-01,2.72000e-01,
-1.9992678e-01,2.72000e-01,
-1.9985354e-01,2.72000e-01,
-1.9978030e-01,2.72000e-01,
-1.9970706e-01,2.72000e-01,
-1.9963382e-01,2.72000e-01,
-1.9956058e-01,2.72000e-01,
-1.9948734e-01,2.72000e-01,
-1.9941410e-01,2.72000e-01,
-1.9934087e-01,2.72000e-01,
-1.9926763e-01,2.72000e-01,
-1.9919439e-01,2.72000e-01,
-1.9912115e-01,2.72000e-01,
-1.9904791e-01,2.72000e-01,
-1.9897467e-01,2.72000e-01,
-1.9890143e-01,2.72000e-01,
-1.9882819e-01,2.72000e-01,
-1.9875495e-01,2.72000e-01,
-1.9868171e-01,2.72000e-01,
-1.9860847e-01,2.72000e-01,
-1.9853523e-01,2.72000e-01,
-1.9846199e-01,2.72000e-01,
-1.9838876e-01,2.72000e-01,
-1.9831552e-01,2.72000e-01,
-1.9824228e-01,2.72000e-01,
-1.9816904e-01,2.72000e-01,
-1.9809580e-01,2.72000e-01,
-1.9802256e-01,2.72000e-01,
-1.9794932e-01,2.72000e-01,
-1.9787608e-01,2.72000e-01,
-1.9780284e-01,2.72000e-01,
-1.9772960e-01,2.72000e-01,
-1.9765636e-01,2.72000e-01,
-1.9758312e-01,2.72000e-01,
-1.9750988e-01,2.72000e-01,
-1.9743665e-01,2.72000e-01,
-1.9736341e-01,2.72000e-01,
-1.9729017e-01,2.72000e-01,
-1.9721693e-01,2.72000e-01,
-1.9714369e-01,2.72000e-01,
-1.9707045e-01,2.72000e-01,
-1.9699721e-01,2.72000e-01,
-1.9692397e-01,2.72000e-01,
-1.9685073e-01,2.56000e-01,
-1.9677749e-01,2.72000e-01,
-1.9670425e-01,2.56000e-01,
-1.9663101e-01,2.72000e-01,
-1.9655778e-01,2.72000e-01,
-1.9648454e-01,2.72000e-01,
-1.9641130e-01,2.64000e-01,
-1.9633806e-01,2.72000e-01,
-1.9626482e-01,2.72000e-01,
-1.9619158e-01,2.56000e-01,
-1.9611834e-01,2.72000e-01,
-1.9604510e-01,2.72000e-01,
-1.9597186e-01,2.64000e-01,
-1.9589862e-01,2.64000e-01,
-1.9582538e-01,2.72000e-01,
-1.9575214e-01,2.72000e-01,
-1.9567890e-01,2.72000e-01,
-1.9560567e-01,2.64000e-01,
-1.9553243e-01,2.72000e-01,
-1.9545919e-01,2.56000e-01,
-1.9538595e-01,2.72000e-01,
-1.9531271e-01,2.56000e-01,
-1.9523947e-01,2.64000e-01,
-1.9516623e-01,2.72000e-01,
-1.9509299e-01,2.64000e-01,
-1.9501975e-01,2.80000e-01,
-1.9494651e-01,2.72000e-01,
-1.9487327e-01,2.64000e-01,
-1.9480003e-01,2.56000e-01,
-1.9472679e-01,2.72000e-01,
-1.9465356e-01,2.56000e-01,
-1.9458032e-01,2.64000e-01,
-1.9450708e-01,2.72000e-01,
-1.9443384e-01,2.72000e-01,
-1.9436060e-01,2.64000e-01,
-1.9428736e-01,2.72000e-01,
-1.9421412e-01,2.72000e-01,
-1.9414088e-01,2.72000e-01,
-1.9406764e-01,2.64000e-01,
-1.9399440e-01,2.72000e-01,
-1.9392116e-01,2.72000e-01,
-1.9384792e-01,2.72000e-01,
-1.9377469e-01,2.64000e-01,
-1.9370145e-01,2.72000e-01,
-1.9362821e-01,2.64000e-01,
-1.9355497e-01,2.72000e-01,
-1.9348173e-01,2.72000e-01,
-1.9340849e-01,2.56000e-01,
-1.9333525e-01,2.72000e-01,
-1.9326201e-01,2.72000e-01,
-1.9318877e-01,2.72000e-01,
-1.9311553e-01,2.64000e-01,
-1.9304229e-01,2.64000e-01,
-1.9296905e-01,2.72000e-01,
-1.9289581e-01,2.72000e-01,
-1.9282258e-01,2.64000e-01,
-1.9274934e-01,2.64000e-01,
-1.9267610e-01,2.72000e-01,
-1.9260286e-01,2.72000e-01,
-1.9252962e-01,2.64000e-01,
-1.9245638e-01,2.56000e-01,
-1.9238314e-01,2.72000e-01,
-1.9230990e-01,2.72000e-01,
-1.9223666e-01,2.72000e-01,
-1.9216342e-01,2.64000e-01,
-1.9209018e-01,2.72000e-01,
-1.9201694e-01,2.72000e-01,
-1.9194371e-01,2.72000e-01,
-1.9187047e-01,2.64000e-01,
-1.9179723e-01,2.64000e-01,
-1.9172399e-01,2.72000e-01,
-1.9165075e-01,2.72000e-01,
-1.9157751e-01,2.72000e-01,
-1.9150427e-01,2.64000e-01,
-1.9143103e-01,2.72000e-01,
-1.9135779e-01,2.56000e-01,
-1.9128455e-01,2.80000e-01,
-1.9121131e-01,2.72000e-01,
-1.9113807e-01,2.64000e-01,
-1.9106483e-01,2.64000e-01,
-1.9099160e-01,2.64000e-01,
-1.9091836e-01,2.72000e-01,
-1.9084512e-01,2.72000e-01,
-1.9077188e-01,2.72000e-01,
-1.9069864e-01,2.64000e-01,
-1.9062540e-01,2.72000e-01,
-1.9055216e-01,2.64000e-01,
-1.9047892e-01,2.72000e-01,
-1.9040568e-01,2.56000e-01,
-1.9033244e-01,2.56000e-01,
-1.9025920e-01,2.72000e-01,
-1.9018596e-01,2.72000e-01,
-1.9011272e-01,2.64000e-01,
-1.9003949e-01,2.72000e-01,
-1.8996625e-01,2.64000e-01,
-1.8989301e-01,2.64000e-01,
-1.8981977e-01,2.72000e-01,
-1.8974653e-01,2.72000e-01,
-1.8967329e-01,2.72000e-01,
-1.8960005e-01,2.80000e-01,
-1.8952681e-01,2.72000e-01,
-1.8945357e-01,2.64000e-01,
-1.8938033e-01,2.64000e-01,
-1.8930709e-01,2.72000e-01,
-1.8923385e-01,2.72000e-01,
-1.8916062e-01,2.72000e-01,
-1.8908738e-01,2.64000e-01,
-1.8901414e-01,2.64000e-01,
-1.8894090e-01,2.72000e-01,
-1.8886766e-01,2.72000e-01,
-1.8879442e-01,2.72000e-01,
-1.8872118e-01,2.80000e-01,
-1.8864794e-01,2.64000e-01,
-1.8857470e-01,2.80000e-01,
-1.8850146e-01,2.64000e-01,
-1.8842822e-01,2.72000e-01,
-1.8835498e-01,2.64000e-01,
-1.8828174e-01,2.64000e-01,
-1.8820851e-01,2.64000e-01,
-1.8813527e-01,2.72000e-01,
-1.8806203e-01,2.72000e-01,
-1.8798879e-01,2.72000e-01,
-1.8791555e-01,2.72000e-01,
-1.8784231e-01,2.72000e-01,
-1.8776907e-01,2.72000e-01,
-1.8769583e-01,2.64000e-01,
-1.8762259e-01,2.72000e-01,
-1.8754935e-01,2.64000e-01,
-1.8747611e-01,2.64000e-01,
-1.8740287e-01,2.56000e-01,
-1.8732964e-01,2.72000e-01,
-1.8725640e-01,2.64000e-01,
-1.8718316e-01,2.64000e-01,
-1.8710992e-01,2.72000e-01,
-1.8703668e-01,2.64000e-01,
-1.8696344e-01,2.64000e-01,
-1.8689020e-01,2.80000e-01,
-1.8681696e-01,2.72000e-01,
-1.8674372e-01,2.64000e-01,
-1.8667048e-01,2.72000e-01,
-1.8659724e-01,2.64000e-01,
-1.8652400e-01,2.64000e-01,
-1.8645076e-01,2.80000e-01,
-1.8637753e-01,2.72000e-01,
-1.8630429e-01,2.64000e-01,
-1.8623105e-01,2.64000e-01,
-1.8615781e-01,2.80000e-01,
-1.8608457e-01,2.72000e-01,
-1.8601133e-01,2.56000e-01,
-1.8593809e-01,2.72000e-01,
-1.8586485e-01,2.72000e-01,
-1.8579161e-01,2.80000e-01,
-1.8571837e-01,2.72000e-01,
-1.8564513e-01,2.64000e-01,
-1.8557189e-01,2.64000e-01,
-1.8549865e-01,2.64000e-01,
-1.8542542e-01,2.64000e-01,
-1.8535218e-01,2.56000e-01,
-1.8527894e-01,2.72000e-01,
-1.8520570e-01,2.56000e-01,
