0.0,0.0,30.0,746.0
0.0,0.0,40.0,631.0
0.0,0.0,50.0,488.0
0.0,0.0,60.0,401.0
0.0,0.0,70.0,315.0
0.0,0.0,82.5,86.0
0.0,10.0,20.0,2093.0
1.5,10.0,20.0,2122.0
3.0,10.0,20.0,2093.0
4.5,10.0,20.0,2036.0
6.0,10.0,20.0,1921.0
0.0,10.0,30.0,889.0
1.5,10.0,30.0,832.0
3.0,10.0,30.0,918.0
4.5,10.0,30.0,832.0
6.0,10.0,30.0,918.0
7.5,10.0,30.0,832.0
9.0,10.0,30.0,918.0
10.5,10.0,30.0,889.0
12.0,10.0,30.0,860.0
13.5,10.0,30.0,832.0
15.0,10.0,30.0,889.0
16.5,10.0,30.0,832.0
18.0,10.0,30.0,918.0
19.5,10.0,30.0,918.0
21.0,10.0,30.0,774.0
22.5,10.0,30.0,774.0
24.0,10.0,30.0,860.0
25.5,10.0,30.0,774.0
27.0,10.0,30.0,832.0
28.5,10.0,30.0,803.0
30.0,10.0,30.0,803.0
31.5,10.0,30.0,746.0
33.0,10.0,30.0,746.0
34.5,10.0,30.0,774.0
36.0,10.0,30.0,803.0
37.5,10.0,30.0,860.0
39.0,10.0,30.0,774.0
40.5,10.0,30.0,717.0
42.0,10.0,30.0,774.0
43.5,10.0,30.0,774.0
45.0,10.0,30.0,803.0
46.5,10.0,30.0,746.0
48.0,10.0,30.0,774.0
49.5,10.0,30.0,774.0
51.0,10.0,30.0,746.0
52.5,10.0,30.0,774.0
54.0,10.0,30.0,774.0
55.5,10.0,30.0,803.0
57.0,10.0,30.0,803.0
58.5,10.0,30.0,717.0
60.0,10.0,30.0,717.0
61.5,10.0,30.0,688.0
63.0,10.0,30.0,717.0
64.5,10.0,30.0,774.0
66.0,10.0,30.0,688.0
67.5,10.0,30.0,688.0
69.0,10.0,30.0,717.0
70.5,10.0,30.0,717.0
72.0,10.0,30.0,774.0
73.5,10.0,30.0,717.0
75.0,10.0,30.0,746.0
76.5,10.0,30.0,717.0
78.0,10.0,30.0,660.0
79.5,10.0,30.0,688.0
81.0,10.0,30.0,746.0
82.5,10.0,30.0,717.0
84.0,10.0,30.0,746.0
85.5,10.0,30.0,688.0
87.0,10.0,30.0,717.0
88.5,10.0,30.0,688.0
90.0,10.0,30.0,660.0
91.5,10.0,30.0,660.0
93.0,10.0,30.0,688.0
94.5,10.0,30.0,688.0
96.0,10.0,30.0,746.0
97.5,10.0,30.0,746.0
99.0,10.0,30.0,688.0
0.0,10.0,40.0,631.0
1.5,10.0,40.0,660.0
3.0,10.0,40.0,631.0
4.5,10.0,40.0,660.0
6.0,10.0,40.0,631.0
7.5,10.0,40.0,602.0
9.0,10.0,40.0,602.0
10.5,10.0,40.0,688.0
12.0,10.0,40.0,631.0
13.5,10.0,40.0,631.0
